	MF: KIRC	METH: KIRC	GE: KIRC	MF: BRCA	METH: BRCA	GE: BRCA	MF: READ	METH: READ	GE: READ	MF: PRAD	METH: PRAD	GE: PRAD	MF: STAD	METH: STAD	GE: STAD	MF: HNSC	METH: HNSC	GE: HNSC	MF: LUAD	METH: LUAD	GE: LUAD	MF: THCA	METH: THCA	GE: THCA	MF: BLCA	METH: BLCA	GE: BLCA	MF: ESCA	METH: ESCA	GE: ESCA	MF: LIHC	METH: LIHC	GE: LIHC	MF: UCEC	METH: UCEC	GE: UCEC	MF: COAD	METH: COAD	GE: COAD	MF: LUSC	METH: LUSC	GE: LUSC	MF: CESC	METH: CESC	GE: CESC	MF: KIRP	METH: KIRP	GE: KIRP
ASZ1	0.0	0.082153324	0.0	0.005315639	0.101657122	0.0	0.0	0.063645689	0.0	0.0	0.098463089	0.0	0.0	0.069539862	0.0	0.011006515	0.260602469	0.0	0.0	0.104302825	0.206529739	0.0	0.089956925	0.0	0.0	0.367924676	0.0	0.0	0.125257431	0.0	0.025051652	0.477929575	0.0	0.01932178	0.0074362	0.0	0.0	0.025812555	0.0	0.054896544	0.05719799	0.0	0.0	0.089098643	0.0	0.0	0.023810174	0.0
ATF1	0.0	0.008652564	0.003903934	0.0	0.006354243	0.038851352	0.0	0.000324949	0.011410853	0.0	0.015274403	0.035991038	0.0	0.014383958	0.010697635	0.011005251	0.006029408	0.01704385	0.0	0.013358236	0.015086412	0.0	0.005808757	0.017101059	0.0	0.010824051	0.012009386	0.027110093	0.01652634	0.041184596	0.0	0.002670762	0.021705798	0.003865255	0.007098594	0.023628979	0.005445477	0.009193275	0.004037596	0.0	0.005808626	0.000216904	0.056451237	0.007005117	0.02053869	0.0	0.01544168	0.024115722
ATF2	0.012790948	0.010480276	0.00392029	0.010520845	0.002731707	0.041234516	0.0	0.001629237	0.001797995	0.045360563	0.002909348	0.044035244	0.0	1.02e-05	0.026456278	0.0	0.002658171	0.039202362	0.097765996	0.007522918	0.009866967	0.0	0.004141992	0.066586743	0.060924775	0.000474119	0.047337153	0.0	0.010726313	0.006352851	0.0	0.005511059	0.031252441	0.003656512	0.003160182	0.05307995	0.010736339	0.000814314	0.008733655	0.053371504	0.013402426	0.002162669	0.028021561	0.009807862	0.060395249	0.0	0.001367652	0.008968822
ATF3	0.0	0.140283302	0.09543076	0.005310396	0.332073914	0.317137344	0.0	0.217404998	0.113481789	0.0	0.058614982	0.133776318	0.0	0.166747302	0.083413709	0.0	0.225657488	0.061718182	0.0	0.041343535	0.238039145	0.0	0.055079818	0.20219066	0.0	0.313565565	0.272295277	0.0	0.060197892	0.015936568	0.0	0.167937578	0.192751044	0.011450998	0.143000678	0.171613985	0.010680362	0.190781897	0.001703496	0.0	0.139056083	0.187676684	0.026695802	0.086224084	0.067810485	0.081786533	0.13288578	0.1549185
ATF4	0.012823834	0.009625018	0.056434083	0.0	0.009377638	0.038036481	0.0	0.003529851	0.00756593	0.022759004	0.02143799	0.018114025	0.0	0.002499661	0.046890554	0.016452401	0.019083158	0.021170514	0.020563506	0.011874744	0.018223156	0.0	0.01233227	0.039296205	0.0	0.020822627	0.042937735	0.02709519	0.010468326	0.052676047	0.0	0.004390642	0.01002665	0.00384271	0.010477308	0.006098456	0.0	0.012321736	0.028984027	0.0	0.009065649	0.008217163	0.027236801	0.005061953	0.059098284	0.0	0.008424808	2.2e-05
ATF6	0.0	0.002650542	0.03445295	0.010478295	0.009459574	0.014037082	0.0	0.002676699	0.007971294	0.0	0.006300633	0.052284714	0.0	0.001091243	0.029579203	0.0	0.003334654	0.009860312	0.041006189	0.012704699	0.001592288	0.0	0.007049033	0.012933885	0.0	0.010371974	0.006329929	0.0	0.005675932	0.000474094	0.025018371	0.002543618	0.030184129	0.003810038	0.007609149	0.013689706	0.010668293	0.006740847	0.001853913	0.0	0.009838666	0.031552623	0.02683431	0.002396452	0.001493586	0.0	0.002124435	0.029923304
ATF6B	0.0	0.008065631	0.013730937	0.0	0.03253403	0.028715583	0.0	0.036769061	0.026545553	0.0	0.052029518	0.003504275	0.012546649	0.055497404	0.016912881	0.00548958	0.007238271	0.00759209	0.019913037	0.029740989	0.03062079	0.0	0.003147154	0.001202544	0.061256778	0.097403785	0.021384552	0.0	0.022180563	0.037061807	0.049962556	0.061081746	0.08330623	0.01527098	0.053058041	0.001941661	0.005437569	0.004107454	0.006805998	0.0	0.06430683	0.006322045	0.02726182	0.013990642	0.010078257	0.0	0.048446437	0.021612064
ATF7	0.0	0.004535123	0.013311024	0.0	0.068941576	0.063076039	0.0	0.007139279	0.009272199	0.022706807	0.009546367	0.004702594	0.025493383	0.057913436	0.006662096	0.01557835	0.005127757	0.031565838	0.01912071	0.026613728	0.016240884	0.0	0.031611259	0.043112044	0.02938086	0.004675362	0.059450323	0.026587692	0.066461956	0.016632594	0.0	0.037064882	0.049221916	0.018478316	0.094008371	0.040960665	0.01043652	0.017170634	0.002801097	0.0	0.033508551	0.030479913	0.053277893	0.017849568	0.033598587	0.040890257	0.029184199	0.011874999
ATF7IP	0.050788284	0.010739732	0.008229388	0.015569311	0.01494709	0.03842835	0.0	0.049067876	0.01676366	0.045406844	0.061787632	0.088934773	0.045173454	0.158808079	0.032034269	0.00543508	0.009635371	0.020296659	0.036829789	0.000623752	0.01766444	0.0	0.008728595	0.021817804	0.0	0.041096907	0.024978825	0.025890031	0.003990196	0.048916649	0.049037985	0.046885173	0.01360035	0.050660319	0.026174074	0.049094145	0.0	0.010907544	0.021688092	0.0	0.011857446	0.027999355	0.055170801	0.039755686	0.00341136	0.081192235	0.012784096	0.011165316
ATG10	0.0	0.00748389	0.002745439	0.0	0.001858032	0.049594996	0.0	0.012814224	0.011683223	0.022754416	0.004996967	0.013057836	0.0	0.011593581	0.017284703	0.0	0.017131509	0.024860282	0.0	0.002783123	0.006877101	0.0	0.004233972	0.004374619	0.0	0.015137746	0.026518901	0.0	0.032460664	0.008770032	0.024935527	0.01187205	0.0486531	0.00380983	0.003623764	0.004069304	0.005272388	0.0060825	0.005501983	0.0	0.031945145	0.005604391	0.0	0.005286646	0.016594185	0.04092513	0.010429106	0.0040478
ATG101	0.0	0.006903846	0.0	0.005313039	0.00304763	0.0	0.0	0.002405015	0.0	0.0	0.011578646	0.0	0.0	0.009961401	0.0	0.0	0.004363833	0.0	0.0	0.003809559	0.0	0.0	0.002988067	0.0	0.0	0.006670852	0.0	0.0	0.010324494	0.0	0.0	0.003593697	0.0	0.003870708	0.004732937	0.0	0.005428121	0.001823328	0.0	0.0	0.010227377	0.0	0.0	0.009946235	0.0	0.0	0.003241451	0.0
ATG12	0.0	0.009738265	0.055701998	0.0	0.002332254	0.012312676	0.0	0.026756759	0.018555071	0.022767184	0.0154419	0.035192559	0.013058101	0.01188721	0.000148397	0.0	0.005239581	0.049246401	0.0	0.003490748	0.017981568	0.003602987	0.003995996	0.004760758	0.0	0.033237316	0.005103006	0.0	0.010866399	0.011927327	0.0	0.024121492	0.044507508	0.003797149	0.000499497	0.006888189	0.0	0.000382651	0.022740724	0.0	0.008856735	0.006201284	0.0	0.005560464	0.008073892	0.0	0.01498642	0.023986667
ATG13	0.025455098	0.005049394	0.006680565	0.0	0.007808773	0.009377537	0.0	0.005930202	0.006347618	0.067997216	0.010994788	0.003850422	0.011939912	0.002596967	0.010397015	0.010737326	0.016676398	0.022902275	0.0	0.008880202	0.008926414	0.0	0.005143337	0.02821696	0.0	0.011715854	0.017252545	0.0	0.005453393	0.004178937	0.0	0.009998889	0.028991583	0.007303456	0.011149171	0.003198734	0.0	0.000635249	0.02151235	0.0	0.00430279	0.016335584	0.0	0.001926893	0.016182066	0.040673016	0.00451173	0.022306381
ATG14	0.0	0.010655957	0.004280201	0.0	0.000262789	0.073479678	0.0	0.004577304	0.006831857	0.0	0.015666214	0.035736602	0.0	0.006549981	0.008917331	0.021429753	0.01185927	0.014954939	0.02042808	0.003920824	0.016160285	0.003601965	0.002629393	0.029005074	0.0	0.015139659	0.031727244	0.0	0.000477232	0.014484422	0.0	0.008874106	0.056512963	0.019219778	0.007215209	0.075985843	0.0	0.002292447	0.012159706	0.054722285	0.01483381	0.001200258	0.027312413	0.001997856	0.062661446	0.0	0.01514408	0.022023598
ATG16L1	0.0	0.006681633	0.034890934	0.010572475	0.011333601	0.03595233	0.028165388	0.018045811	0.013512262	0.0	0.009845663	0.016418313	0.012943227	0.019254334	0.012641441	0.005483161	0.026299925	0.001949025	0.019573128	0.019686047	0.053067489	0.0	0.007717375	0.000353613	0.0	0.036271508	0.041991113	0.0	0.011900079	0.004014984	0.074769459	0.006884911	0.014580246	0.029580577	0.017244142	0.000573469	0.005272504	0.002794537	0.022682368	0.054104592	0.007401133	0.016996543	0.052801466	0.005412638	0.036789184	0.0	0.010231394	0.029316657
ATG16L2	0.0	0.008123304	0.112320635	0.010601098	0.00236802	0.013244485	0.0	0.017188014	0.011122023	0.0	0.002228449	0.009284435	0.013047084	0.004243781	0.001141218	0.0	0.003566636	0.00166256	0.0	0.000901051	0.049285276	0.003604027	0.003256394	0.000301455	0.0	0.013174097	0.03799341	0.0	0.002463626	0.046000142	0.0	0.002024846	0.03858153	0.007649706	0.005926791	0.064354133	0.005440834	0.002867103	0.00509025	0.0	0.009835314	0.091846807	0.138475748	0.001166571	0.017413362	0.0	0.002536753	0.070694367
ATG2A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ATG2B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ATG3	0.0	0.007228207	0.003224939	0.005300256	0.00510161	0.004450935	0.0	0.003593625	0.008560702	0.02276836	0.008074509	0.023509482	0.0	0.009646585	0.008384044	0.0	0.001151837	0.010441359	0.040858877	0.006811552	0.018372903	0.003586991	0.004634398	0.02033943	0.0	0.010524486	0.004735162	0.0	1.9e-05	0.00851052	0.02502773	0.002129964	0.028969336	0.011475114	0.009297015	0.012012201	0.0	0.000819791	0.00370725	0.0	0.012831951	0.014525811	0.0	0.003208452	0.061040704	0.0	0.002136329	0.004815133
ATG4B	0.012819868	0.007019344	0.003656267	0.005282458	0.003975197	0.000748724	0.0	0.004361965	0.004569509	0.0	0.001524521	0.018003844	0.01254292	4.77e-05	0.019703221	0.005476734	0.001924059	0.003993296	0.020301404	0.000569854	0.027158785	0.0	0.000413668	0.019198991	0.0	0.006556912	0.014478382	0.0	0.002693208	0.003379	0.0	0.004632823	0.051595476	0.022737507	0.009475934	0.039427122	0.005432036	0.002660508	0.014422412	0.0	0.007856521	0.026424683	0.0	0.002448317	0.022862005	0.040796605	0.000155222	0.005619598
ATG5	0.0	0.010798549	0.031967835	0.020708568	0.010834886	0.021723942	0.0	0.062359852	0.020792916	0.022752936	0.025447283	0.071664819	0.024898119	0.075992428	0.01869341	0.0	0.019899559	0.028952818	0.0	0.000538932	0.011819573	0.0	0.005031008	0.020610136	0.0	0.070894424	0.018478645	0.0	0.008754288	0.020405172	0.049717363	0.015372951	0.014624704	0.007432613	0.014569661	0.006394738	0.015877715	0.032337019	0.018579438	0.0	0.037994891	0.028072756	0.0	0.007249404	0.031198806	0.0	0.004272034	0.012419401
ATG7	0.038429701	0.008602996	0.001642964	0.010515459	0.001312111	0.005977188	0.0	0.027719056	0.007163217	0.022753967	0.010726445	0.005654405	0.013033936	0.017991987	0.016252029	0.0	0.011245571	0.036395293	0.040424985	0.010452036	0.04711982	0.0	0.007705363	0.018597427	0.060944802	0.031003754	0.033839938	0.027077378	0.007336952	0.005527153	0.0	0.009549847	0.047693302	0.0	0.008751621	0.015867672	0.005289874	0.010041542	0.00414376	0.0	0.002525149	0.071745825	0.027604532	0.006210221	0.003648579	0.081741208	0.001423123	0.027353635
ATG9A	0.0	0.007356853	0.00704632	0.005304716	0.001696426	0.033660144	0.027271125	0.000752063	0.012769915	0.022734495	0.007960486	0.002464148	0.012468484	0.002762741	0.003352754	0.016303924	0.000269416	0.002250297	0.020407758	0.001282297	0.012325732	0.0	0.003516518	0.023337361	0.060642438	0.006905179	0.012895306	0.0	0.000885933	0.018020598	0.024998521	0.00385663	0.022949102	0.007607943	0.005652271	0.017048864	0.010482251	0.003348165	0.028371862	0.0	0.012422287	0.00624547	0.027382571	0.002798195	0.031430783	0.081619246	0.002786907	0.001122916
ATG9B	0.012819415	0.0	0.108046307	0.0	0.0	0.076798355	0.02836083	0.0	0.23946157	0.0	0.0	0.17854188	0.038176708	0.0	0.04966996	0.0	0.0	0.081544796	0.040746519	0.0	0.093486644	0.0	0.0	0.086023967	0.0	0.0	0.060929188	0.0	0.0	0.08366668	0.0	0.0	0.035709999	0.018946276	0.0	0.066449241	0.010823674	0.0	0.244124287	0.054872058	0.0	0.091981265	0.0	0.0	0.158330159	0.0	0.0	0.030817326
ATM	0.126993048	0.005406895	0.048716147	0.03662793	0.010533766	0.079039569	0.081106491	0.015056498	0.00716323	0.20399176	0.010107456	0.031417474	0.074742867	0.001286905	0.033530854	0.042792793	0.01294754	0.001550237	0.15857357	0.013673217	0.010836226	0.021534872	0.009304373	0.073610869	0.358788225	0.014414428	0.08287896	0.026866492	0.005809409	0.040262896	0.098176595	0.009852997	0.024325756	0.072563652	0.00721366	0.041386443	0.079134819	0.005721542	0.011675027	0.05308573	0.001322651	0.013318596	0.045194714	0.010870719	0.084018273	0.081209668	0.003747277	0.004955801
ATOX1	0.0	0.009117882	0.003430177	0.0	0.00032928	0.070523654	0.0	0.000437699	0.015703886	0.0	0.00498616	0.004281134	0.0	0.005932108	0.017832477	0.0	0.002089455	0.015317631	0.0	0.000194174	0.017007165	0.0	0.001608272	0.043804874	0.0	0.005794872	0.016542057	0.0	0.005918753	0.023261232	0.0	0.005265079	0.043202478	0.0	0.003695216	0.046584838	0.0	0.002109532	0.020557713	0.0	0.014888485	0.006452048	0.027220992	0.003725803	0.005500263	0.0	0.004299133	0.027595671
ATP1A1	0.0	0.09154033	0.182222105	0.015848402	0.042474995	0.027092737	0.0	0.015153074	0.015523461	0.022739248	0.090221377	0.016748603	0.051270063	0.003048536	0.0428162	0.016346813	0.011366172	0.015334087	0.039979843	0.020397673	0.051212431	0.003602865	0.00553085	0.070697784	0.0	0.038570784	0.005823091	0.0	0.005387843	0.024150839	0.149225775	0.059001918	0.068308514	0.011243363	0.026076934	0.067883375	0.005398472	0.003433407	0.060289694	0.0	0.011877022	0.035689999	0.026725538	0.013041003	0.121428957	0.122473988	0.087268881	0.133166571
ATP1A2	0.012817681	0.014923937	0.052183273	0.0	0.041740351	0.595246189	0.0	0.03024742	0.445718128	0.0	0.146722184	0.282900836	0.09043248	0.025261635	0.331068287	0.016464165	0.045991052	0.375779424	0.020418855	0.089510255	0.336187116	0.014302547	0.115080144	0.049463925	0.060787577	0.073030769	0.67297453	0.0	0.319870267	0.3634537	0.024916418	0.239072116	0.040149076	0.022901403	0.083154335	0.487196408	0.021494644	0.108252712	0.351207846	0.0	0.014253751	0.395341358	0.0	0.239253264	0.527221896	0.081711263	0.449266138	0.221947059
ATP1A3	0.012779562	0.07471997	0.04370296	0.015749815	0.135750928	0.160002722	0.0	0.036315972	0.137133877	0.045460039	0.144652141	0.026697524	0.10142625	0.060916127	0.038956882	0.010862108	0.063232665	0.089885511	0.077698309	0.069687351	0.054266226	0.0	0.011396725	0.063285147	0.0	0.047614364	0.014583695	0.0	0.088614456	0.003327295	0.024989673	0.04886842	0.081471512	0.018680971	0.062467026	0.011187741	0.010799017	0.061284357	0.122884183	0.054280434	0.046037277	0.01139649	0.05581716	0.140396049	0.16228519	0.081517284	0.079574865	0.013179393
ATP1A4	0.025646739	0.126569645	0.000653347	0.010620953	0.049846837	0.040254318	0.028021525	0.136376392	0.085272124	0.0	0.045808573	0.311339604	0.077474629	0.169697573	0.012284118	0.0	0.214604759	0.136959715	0.081394613	0.108086434	0.058699006	0.0	0.000607408	0.170155319	0.061074071	0.194811868	0.01798578	0.0	0.203903854	0.118860455	0.0	0.247095337	0.136542618	0.026850043	0.077519947	0.068339161	0.02167695	0.104266991	0.079593662	0.0	0.220069385	0.086926751	0.083743925	0.108429996	0.087949004	0.040894387	0.034109173	0.033457366
ATP1B1	0.025651361	0.014456553	0.094718387	0.01062485	0.022676593	0.01561184	0.0	0.05571359	0.009948873	0.0	0.011934253	0.180939529	0.013031078	0.006163715	0.0016331	0.005451148	0.007306045	0.07646823	0.020416503	0.085599297	0.083009874	0.0	0.010929904	0.041538782	0.0	0.068583905	0.023022073	0.0	0.025699932	0.085552312	0.025042616	0.045058107	0.059756261	0.003839561	0.033870413	0.029336312	0.0	0.009758211	0.034364563	0.0	0.032965064	0.01093398	0.055657083	0.015312903	0.080166285	0.163733465	0.02879941	0.117024051
ATP1B2	0.0	0.087885309	0.039441075	0.0	0.203575114	0.238907761	0.0	0.17844636	0.198861484	0.045535869	0.261782547	0.1170362	0.0	0.185778071	0.10867399	0.005493549	0.180644427	0.052877387	0.0	0.256632828	0.230824376	0.0	0.008824692	0.056874463	0.0	0.154757197	0.308824563	0.0	0.291388192	0.121365742	0.0	0.092404021	0.116682056	0.015407806	0.166836509	0.412608561	0.010895494	0.341964701	0.183308328	0.0	0.054226681	0.238885853	0.0	0.299285459	0.502915807	0.0	0.073625445	0.298174181
ATP1B3	0.0	0.011993609	0.043014492	0.0	0.003247288	0.001061502	0.0	0.009520525	0.049821433	0.022765872	0.007764599	0.010279445	0.0	0.000891884	0.016926352	0.016465868	0.001896581	0.090192443	0.0	0.005387646	0.06718867	0.0	0.003761456	0.08745347	0.0	0.011585985	0.018986227	0.0	0.011602444	0.16832275	0.0	0.012180005	0.101296355	0.003857378	0.0041429	0.044550562	0.005440004	0.004660587	0.065655214	0.0	0.01785745	0.113402859	0.02826411	0.003847174	0.146490153	0.0	0.000448206	0.046797548
ATP1B4	0.025581038	0.139501825	0.0	0.01060671	0.228981539	0.0	0.0	0.051649691	0.0	0.0	0.074616289	0.0	0.025546373	0.025654366	0.0	0.0	0.123864862	0.414237336	0.098309428	0.193804743	0.0	0.003599542	0.068624276	0.0	0.0	0.247776824	0.0	0.026835598	0.126475638	0.0	0.049873167	0.43110106	0.0	0.026244339	0.032493115	0.0	0.010837893	0.102923574	0.0	0.0	0.141233006	0.0	0.028176572	0.019280417	0.0	0.081470574	0.00718027	0.0
ATP2A1	0.012797666	0.026074307	0.10955491	0.010612476	0.008988135	0.048923058	0.0	0.039722512	0.055900525	0.045502872	0.004495592	0.097398229	0.037809543	0.092790612	0.102509344	0.016414227	0.006903221	0.382785785	0.02036888	0.038105453	0.153410371	0.0	0.110762528	0.043891482	0.120676751	0.065956337	0.042069689	0.0	0.139063471	0.093153602	0.0	0.131015722	0.122852313	0.037547718	0.090410232	0.103920675	0.010688754	0.051570422	0.066580796	0.0	0.064119113	0.177512091	0.028217745	0.00080729	0.168306423	0.040794396	0.231540336	0.118821182
ATP2A2	0.012812057	0.004714643	0.008739059	0.010352672	0.004817826	0.005107343	0.0	0.014103729	4.29e-05	0.022756631	0.008625736	0.041457185	0.012491404	0.00461345	0.073101279	0.01547905	0.006438164	0.026947018	0.040661407	0.006625204	0.072735053	0.003602323	0.018382899	0.034874886	0.030516966	0.00701728	0.054680627	0.0	0.006826501	0.044863134	0.049942448	0.012668307	0.068277525	0.015263761	0.000160609	0.043513092	0.010623898	0.008085831	0.01072645	0.0	0.007108711	0.077711218	0.05573956	0.002257437	0.122400845	0.040827419	0.003523638	0.023159049
ATP2A3	0.0	0.04555406	0.035790187	0.010576738	0.011838317	0.103353242	0.0	0.004639763	0.154968308	0.0	0.227907315	0.106501396	0.022820466	0.067495319	0.023546073	0.0	0.099442998	0.038090551	0.0	0.135848	0.006535512	0.0	0.020091132	0.005152276	0.030460821	0.021905427	0.107537252	0.053661485	0.037260596	0.13004807	0.0	0.130355473	0.008849015	0.007334256	0.065784644	0.068879444	0.005380138	0.02642558	0.165840825	0.054824479	0.037940889	0.115752513	0.026586525	0.075424296	0.029339553	0.0	0.134639493	0.060602347
ATP2B1	0.012764289	0.030939558	0.026048494	0.031162662	0.007304212	0.08747459	0.0	0.032066918	0.063014796	0.0	0.003714806	0.017325772	0.02428365	0.006398622	0.051451608	0.021138786	0.005114785	0.061497595	0.037936794	0.000528091	0.065362512	0.0	0.006472449	0.068196825	0.02991272	0.021301824	0.011137102	0.026846963	0.008963807	0.015069783	0.0	0.003843895	0.020751048	0.022077835	0.010090326	0.023842398	0.01069289	0.003829534	0.086696493	0.0	0.011879211	0.000600489	0.080495929	0.007507886	0.016627747	0.081297678	0.004716144	0.006060385
ATP2B2	0.0	0.0	0.1883465	0.009842938	0.0	0.205251937	0.027217601	0.0	0.235198366	0.065647056	0.0	0.241844957	0.078168701	0.0	0.240180782	0.014750658	0.0	0.276607613	0.072221446	0.0	0.22750885	0.0	0.0	0.232020921	0.058107122	0.0	0.288155159	0.051511734	0.0	0.244191748	0.072454013	0.0	0.026748152	0.027590443	0.0	0.043622799	0.026342606	0.0	0.202817905	0.051630317	0.0	0.123034557	0.074115453	0.0	0.360430798	0.039879222	0.0	0.090886611
ATP2B3	0.0	0.125688618	0.0	0.005170313	0.038983011	0.0	0.0	0.158851656	0.358147865	0.088070004	0.139322041	0.0	0.03618299	0.11727571	0.0	0.036538458	0.141870899	0.0	0.079873749	0.208656652	0.0	0.003596585	0.013521401	0.0	0.029656202	0.04910611	0.0	0.026117246	0.094914324	0.344752942	0.0	0.110436302	0.0	0.061830483	0.172068587	0.160210187	0.036541206	0.269216638	0.0	0.053298907	0.060609456	0.210220758	0.055658546	0.219963481	0.201122334	0.081146881	0.06964358	0.349854954
ATP2B4	0.038215323	0.151988584	0.058873861	0.014866315	0.021526748	0.121747463	0.053869873	0.012182077	0.254115191	0.045419966	0.160311088	0.198961683	0.02520625	0.047477856	0.000587437	0.016322434	0.049643991	0.046898985	0.040062844	0.021305939	0.09459763	0.007193484	0.005135906	0.015496169	0.057544201	0.030284822	0.148002778	0.0	0.057220395	0.0111247	0.074138278	0.094872871	0.054450048	0.014862692	0.031909108	0.15520128	0.010741628	0.01476059	0.071188468	0.054143346	0.005023863	0.090702237	0.055788857	0.039352178	0.267902577	0.0	0.046021117	0.028759168
ATP6AP1	0.0	0.019724213	0.021669137	0.005312953	0.187271235	0.107088153	0.0	0.163098866	0.015701564	0.0	0.006550913	0.057254878	0.0	0.672299625	0.022178753	0.0	0.015607461	0.006183267	0.019950328	0.028345736	0.028490616	0.0	0.074646167	0.044835651	0.0	0.238006791	0.05068149	0.0	0.346412649	0.022384339	0.0	0.13359375	0.089390862	0.007658537	0.079225666	0.052659875	0.010746867	0.028657203	0.009108196	0.0	0.062563317	0.043989686	0.055195957	0.056083083	0.038569565	0.040967222	0.066794513	0.017176728
ATP6AP2	0.0	0.0	0.038602604	0.005298633	0.0	0.020107295	0.026364366	0.0	0.00274754	0.022711234	0.0	0.051252265	0.024787968	0.0	0.012465184	0.005411815	0.0	0.01817338	0.039987865	0.0	0.010300928	0.0	0.0	0.035948384	0.030415135	0.0	0.013599174	0.026749223	0.0	0.045696196	0.0	0.0	0.030066103	0.025628921	0.0	0.019319644	0.0	0.0	0.008337901	0.053879414	0.0	0.005537612	0.027485892	0.0	0.038969296	0.0	0.0	0.031975665
ATP6V0A1	0.0	0.006218196	0.005246787	0.005073666	0.028667935	0.0347648	0.0	0.011334773	0.014899807	0.0	0.001685265	0.017933545	0.024868788	0.024120301	0.021135859	0.0	0.004445441	0.020351918	0.0	0.010025663	0.059337137	0.017776711	0.037503233	0.013353239	0.029012005	0.019231291	0.039254818	0.0	0.013520679	0.020832205	0.073425708	0.036745259	0.038054122	0.014700827	0.012841494	0.055950207	0.0	0.008023617	0.02529306	0.0	0.018422529	0.085267191	0.078437153	0.022408306	0.091194511	0.040388919	0.033772071	0.025513592
ATP6V0A2	0.0	0.035682567	0.000910933	0.015894372	0.02686097	0.00653944	0.0	0.008018494	0.000461965	0.0	0.010503118	0.001153702	0.012877661	0.031287291	0.017796746	0.005370723	0.005622491	0.028203642	0.0	0.022675061	0.017516565	0.0	0.009851362	0.011487832	0.0	0.004499033	0.041134	0.026857567	0.009912518	0.03950217	0.0	0.030572029	0.019825201	0.007599019	0.031189017	0.045917809	0.005243136	0.001870879	0.020365464	0.108882353	0.02095107	0.033381841	0.0	0.048013545	0.040075689	0.040838363	0.058688606	0.008777459
ATP6V0A4	0.0	0.702270396	0.627363543	0.005289967	0.409051978	0.114258749	0.0	0.130136001	0.029936584	0.0	0.386017245	0.447528401	0.025099995	0.008006968	0.097407752	0.010754138	0.214008247	0.43862804	0.0	0.061420225	0.017541388	0.0	0.050560046	0.105848557	0.058555673	0.02033655	0.108148423	0.0	0.110802367	0.083535652	0.0	0.13363124	0.0	0.014937799	0.125611504	0.17193741	0.015823896	0.189469932	0.019192064	0.053869636	0.150693037	0.110735305	0.026036842	0.365721086	0.185806118	0.0	0.476604862	0.454421965
ATP6V0B	0.012827524	0.009996548	0.064008456	0.010603624	0.001259445	0.121486783	0.0	0.016629622	0.032152077	0.0	0.006348419	0.055063405	0.050873104	0.01330912	0.023003493	0.016311045	8.03e-05	0.025406482	0.0	0.007606287	0.00564708	0.003602225	0.003035616	0.007807119	0.030766867	0.018127471	0.091659107	0.027016521	0.006526691	0.004267881	0.0	0.000828843	0.044672691	0.003830975	0.012286501	0.097271952	0.0	0.001106656	0.000799892	0.0	0.013689097	0.010095936	0.0	0.000216485	0.07695169	0.04095045	0.003724371	0.059542187
ATP6V0C	0.0	0.283960768	0.033579205	0.0	0.286341247	0.089811838	0.0	0.028835098	0.013020941	0.0	0.361643821	0.030425933	0.0	0.039292616	0.011732258	0.005501641	0.117531868	0.02979265	0.0	0.184381852	0.035298713	0.0	0.054184228	0.024649948	0.0	0.165492231	0.032158095	0.0	0.106959202	0.025016255	0.0	0.177394966	0.03514587	0.003848301	0.10085449	0.007026866	0.0	0.066132192	0.02902265	0.0	0.071634428	0.029309715	0.0	0.003893038	0.053252009	0.0	0.139678549	0.004362692
ATP6V0D1	0.0	0.004934739	0.043326035	0.00530677	0.001859754	0.002206714	0.028303193	0.019031344	0.07557203	0.0	0.003091105	0.029839964	0.0	0.009668275	0.058256373	0.0	0.004289371	0.016856497	0.020270151	0.002866917	0.077430491	0.0	0.001754363	0.027000489	0.0	0.010068188	0.017141041	0.0	0.004099097	0.021653927	0.0	0.005828505	0.031581014	0.0	0.001739174	0.00092775	0.0	0.007413709	0.096972338	0.0	0.009835707	0.088794841	0.0	0.002382	0.008391732	0.0	0.002264528	0.018864126
ATP6V0D2	0.0	0.08032438	0.49729206	0.00531453	0.029535745	0.138950921	0.0	0.258130171	0.183204384	0.0	0.017407372	0.309859936	0.0	0.026434771	0.13936645	0.0	0.30735288	0.162430639	0.0	0.373960431	0.109364274	0.0	0.017152359	0.038876968	0.0	0.219280846	0.074189635	0.0	0.289542723	0.109840777	0.0	0.082763366	0.156477735	0.011616172	0.306030955	0.021294027	0.0	0.19924601	0.241074689	0.054864695	0.300727256	0.148635736	0.0	0.130766944	0.139867856	0.0	0.060619816	0.486616514
